legajo;estado_civil;carrera;carrera_grado;sede;anio_ingreso;horas_trabajadas;masculino;femenino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;estado;promedio_1er_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar_2016;fracaso_academico;activo_2017
2275;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;REGULAR;5,4;4;3;3;3;1;2;1;6;5;7;0;0;0;0;1
2276;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;1;LIBRE;-;2;0;2;0;2;0;1;2;0;3;0;0;0;1;0
2277;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;1;0;18;0;1;1;1;LIBRE;7;3;1;3;1;2;1;4;4;2;8;0;0;0;0;0
2278;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;1;0;17;0;1;1;1;REGULAR;5,38;4;6;3;3;1;5;0;9;8;9;0;0;0;0;1
2279;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE;-;1;0;1;0;2;1;1;3;1;4;0;1;0;0;0
2280;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;30;1;0;18;0;1;1;0;LIBRE/INHABILITADO;2,00;1;0;1;0;2;1;1;3;1;4;0;0;0;0;0
2281;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;3;0;2;4;1;6;0;0;0;0;0
2282;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;0;1;17;0;1;1;1;REGULAR;4,6;4;3;3;2;2;2;3;6;4;9;0;0;0;0;1
2283;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;11;0;1;33;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;1;3;2;1;5;0;0;0;0;0
2284;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;36;0;1;27;0;1;1;1;REGULAR;7;4;1;3;1;1;2;5;5;3;10;0;0;0;0;1
2285;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;19;0;1;1;1;REGULAR;7,43;4;7;3;5;1;3;2;10;8;12;0;0;1;0;1
2286;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;19;0;1;1;1;LIBRE;5,33;2;2;2;2;0;3;6;6;5;12;0;0;0;0;0
2287;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;1;REGULAR;7,44;3;9;3;7;0;3;1;11;10;12;0;0;1;0;0
2288;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;REGULAR;7;4;3;3;2;1;4;0;8;6;8;0;0;1;0;1
2289;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;1;1;4;3;1;7;0;0;0;0;0
2290;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;1;1;1;1;LIBRE;5;3;1;3;0;3;4;1;8;4;9;0;0;1;0;0
2291;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;LIBRE;-;2;0;2;0;4;1;4;6;1;10;0;1;1;0;0
2292;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;7;0;1;17;0;1;1;1;LIBRE;7,33;2;3;2;3;2;3;2;9;6;11;0;0;0;0;0
2293;SOLTERO/A;PROFESORADO EN GEOGRAFIA;1;C.R. SAN MIGUEL;2014;6;0;1;17;0;1;1;1;REGULAR;8;3;2;3;2;1;2;3;5;4;8;0;0;1;0;0
2294;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;1;REGULAR;5,75;4;4;3;1;2;5;1;9;6;10;0;0;1;0;1
2295;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;32;0;1;17;0;1;1;1;REGULAR;8,5;4;2;3;2;0;3;4;6;5;10;0;0;1;0;1
2296;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;0;1;20;1;0;1;0;LIBRE/INHABILITADO;8,00;1;1;1;1;0;0;2;1;1;3;0;0;0;0;0
2297;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;20;0;1;18;1;0;1;1;LIBRE;5,5;2;2;2;1;3;3;4;8;4;12;0;0;0;0;0
2298;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;1;0;5;3;1;8;0;0;0;0;0
2299;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;1;0;12;2;0;14;0;0;0;0;0
2300;SOLTERO/A;PROFESORADO EN GEOGRAFIA;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;REGULAR;4,4;4;3;3;1;1;5;1;8;6;9;0;1;1;0;1
2301;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;0;1;1;0;LIBRE/INHABILITADO;7,00;1;2;1;1;3;4;4;9;5;13;0;0;0;0;0
2302;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;1;REGULAR;7;4;4;3;3;1;3;1;8;6;9;0;0;1;0;1
2303;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;6;0;1;51;1;0;1;0;LIBRE/INHABILITADO;-;1;0;1;0;2;0;6;3;0;9;0;0;0;0;0
2304;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;LIBRE;6,2;2;4;2;3;2;3;1;9;6;10;0;0;0;0;0
2305;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;1;LIBRE;-;2;0;2;0;0;1;5;1;1;6;0;0;0;0;0
2306;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;30;0;1;61;1;0;1;1;REGULAR;4,6;4;3;3;2;0;4;3;7;6;10;0;0;0;0;1
2307;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;25;0;1;49;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;1;2;1;4;2;5;0;0;0;0;0
2308;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;40;0;1;47;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;0;5;1;0;6;0;0;0;0;0
2309;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE;5;1;2;1;1;3;2;1;7;3;8;0;0;0;0;0
2310;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;6;0;1;17;0;1;1;0;LIBRE/INHABILITADO;3,50;1;1;1;0;1;3;4;5;3;9;0;0;1;0;0
2311;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;20;0;1;1;1;REGULAR;2;4;0;3;0;5;2;1;8;2;9;0;0;0;1;1
2312;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;20;0;1;17;0;1;1;1;LIBRE;7;3;3;3;3;4;0;2;8;3;10;0;1;0;0;0
2313;SOLTERO/A;CONTADOR PUBLICO;1;C.R. SAN MIGUEL;2014;0;0;1;19;1;0;1;0;LIBRE/INHABILITADO;-;1;0;1;0;2;1;1;3;1;4;0;0;0;0;0
2314;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;49;1;1;1;1;REGULAR;6;4;3;3;2;4;3;3;10;5;13;1;0;0;0;1
2315;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;19;0;1;1;1;REGULAR;7,13;4;8;3;5;0;4;0;10;9;10;0;0;0;0;1
2316;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;1;0;17;0;1;1;1;REGULAR;5;4;3;3;2;3;2;0;7;4;7;0;0;1;0;1
2317;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;0;1;17;1;1;1;1;REGULAR;7,5;3;4;3;4;0;2;1;6;6;7;0;0;1;0;0
2318;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;16;0;1;17;0;1;1;0;LIBRE;7;1;3;1;2;3;1;3;7;3;10;0;0;0;0;0
2319;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;41;1;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;0;0;3;2;1;5;0;0;0;0;0
2320;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;25;0;1;21;1;1;1;1;LIBRE;6,5;2;2;2;1;1;2;1;5;3;6;0;0;1;0;0
2321;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;0;1;1;1;REGULAR;7,5;4;4;3;4;2;2;0;9;6;9;0;0;0;0;1
2322;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;19;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;1;2;7;4;2;11;0;0;0;0;0
2323;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;21;0;1;18;1;1;1;1;REGULAR;7,8;4;5;3;5;0;2;3;8;7;11;0;0;0;0;1
2324;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;LIBRE;8,5;3;2;3;2;1;0;1;4;2;5;0;0;1;0;0
2325;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;1;REGULAR;8;4;2;3;1;0;2;3;4;3;7;0;0;0;0;1
2326;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;REGULAR;7,29;4;7;3;6;0;3;0;10;9;10;0;0;1;0;1
2327;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;0;LIBRE/INHABILITADO;8,00;1;1;1;1;1;1;2;4;2;6;0;0;0;0;0
2328;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;1;0;18;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;3;0;0;3;0;3;0;0;0;1;0
2329;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;24;0;1;19;1;1;1;0;LIBRE;7;1;1;1;1;2;0;1;4;1;5;0;0;0;0;0
2330;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;20;0;1;18;0;1;1;1;REGULAR;8;4;1;3;1;2;3;3;7;4;10;0;0;1;0;1
2331;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;2;1;4;4;1;8;0;0;0;0;0
2332;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;4;0;1;39;1;1;1;1;REGULAR;7,67;4;9;3;7;0;2;0;10;9;10;0;0;0;0;1
2333;SOLTERO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;0;5;0;0;5;0;0;0;0;0
2334;SOLTERO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;1;2;2;4;3;6;0;0;0;0;0
2335;SOLTERO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;REGULAR;6,75;4;4;3;1;0;4;3;5;5;8;0;0;1;0;1
2336;SOLTERO/A;PROFESORADO EN CIENCIAS DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;24;0;1;18;0;1;1;1;LIBRE;5,33;3;2;3;1;0;4;2;5;5;7;0;0;0;0;0
2337;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;1;0;18;0;1;1;1;LIBRE;7;2;2;2;2;2;4;1;9;6;10;0;0;0;0;0
2338;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;1;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;2;1;1;5;2;6;0;0;0;0;0
2339;SOLTERO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;20;0;1;27;1;1;1;1;REGULAR;4,33;4;3;3;0;2;3;3;5;3;8;0;0;0;0;1
2340;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;2;2;3;2;5;0;0;0;0;0
2341;CASADO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;0;0;1;48;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;1;1;1;2;1;3;0;0;0;0;0
2342;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;6;1;0;26;1;1;1;1;REGULAR;8;4;1;3;1;2;3;1;7;4;8;0;0;0;0;1
2343;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;1;0;3;3;1;6;0;0;0;0;0
2344;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;0;0;3;2;1;5;0;0;0;0;0
2345;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;REGULAR;7;4;3;3;3;0;3;4;7;6;11;0;0;0;0;1
2346;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;3;0;7;5;1;12;0;0;0;0;0
2347;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;1;1;1;1;REGULAR;7,8;4;5;3;5;1;1;0;8;6;8;0;0;1;0;1
2348;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;1;1;1;0;LIBRE/INHABILITADO;7,33;1;3;1;3;0;0;6;4;3;10;0;0;0;0;0
2349;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;0;1;1;0;LIBRE/INHABILITADO;2,00;1;0;1;0;1;2;2;4;2;6;0;0;0;0;0
2350;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;12;0;1;33;1;0;1;0;REGULAR;8;4;1;3;1;0;0;4;2;1;6;0;0;0;0;1
2351;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;36;0;1;23;0;1;1;1;LIBRE;7;2;1;2;1;2;0;6;4;1;10;0;0;0;0;0
2352;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;REGULAR;8;4;6;3;5;0;2;1;8;7;9;0;0;0;0;1
2353;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. SAN MIGUEL;2014;30;1;0;18;0;1;1;1;REGULAR;6;4;5;3;2;0;3;3;6;5;9;0;1;0;0;1
2354;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;24;0;1;36;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;1;4;2;1;6;0;0;0;0;0
2355;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;1;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;1;1;2;4;2;6;0;0;0;0;0
2356;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;4;0;1;18;0;1;1;0;LIBRE/INHABILITADO;9,00;1;1;1;1;0;1;2;3;2;5;0;0;0;0;0
2357;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;17;0;1;1;1;REGULAR;7;4;5;3;3;1;3;0;8;6;8;0;0;1;0;1
2358;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;19;1;1;1;1;LIBRE;5,5;2;2;2;1;3;3;1;8;4;9;0;0;0;0;0
2359;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;1;0;20;1;1;1;1;LIBRE;-;2;0;2;0;0;1;1;2;1;3;0;0;0;0;0
2360;CASADO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;40;0;1;41;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;1;2;2;1;4;0;0;0;0;0
2361;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;40;0;1;40;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;0;1;2;2;1;4;0;0;0;0;0
2362;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;0;0;1;35;1;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;3;0;0;4;0;4;0;0;0;1;0
2363;SOLTERO/A;LICENCIATURA EN TRABAJO SOCIAL;1;C.R. SAN MIGUEL;2014;55;1;0;30;1;1;1;0;LIBRE/INHABILITADO;7,00;1;1;1;1;0;0;5;2;1;7;0;0;0;0;0
2364;SOLTERO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;17;0;1;1;1;REGULAR;7,33;4;3;3;2;0;2;1;4;4;5;0;0;0;0;1
2365;SOLTERO/A;LICENCIATURA EN CS. DE LA EDUCACION;1;C.R. SAN MIGUEL;2014;0;0;1;18;0;1;1;1;LIBRE;2;2;0;2;0;3;1;2;4;1;6;0;0;0;0;0
2366;SOLTERO/A;LIC. EN INFORMACION AMBIENTAL;1;C.R. CAMPANA;2014;0;1;0;22;0;0;1;1;REGULAR;5,67;4;11;3;5;0;6;1;11;11;12;0;0;0;0;1
2367;CASADO/A;LIC. EN INFORMACION AMBIENTAL;1;C.R. CAMPANA;2014;8;0;1;33;1;1;1;1;REGULAR;6,25;4;7;3;5;3;2;3;10;7;13;1;0;0;0;1
2368;SOLTERO/A;LIC. EN INFORMACION AMBIENTAL;1;C.R. CAMPANA;2014;0;0;1;19;0;1;1;1;REGULAR;4,71;4;5;3;3;1;6;0;10;9;10;0;0;0;0;1
2369;SOLTERO/A;LIC. EN INFORMACION AMBIENTAL;1;C.R. CAMPANA;2014;20;0;1;18;1;1;1;1;REGULAR;8,5;4;6;3;6;1;1;1;8;7;9;0;0;0;0;1
2370;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;0;1;0;29;1;1;1;0;REGULAR;5,67;4;5;3;4;1;3;0;8;7;8;0;0;0;0;1
2371;CASADO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;48;1;0;28;1;1;1;0;LIBRE/INHABILITADO;10,00;1;1;1;1;2;0;2;3;1;5;0;0;0;0;0
2372;CASADO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;48;1;0;27;1;1;1;1;LIBRE;7;2;2;2;2;1;0;6;3;2;9;0;0;0;0;0
2373;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;0;1;25;0;1;1;1;LIBRE;-;2;0;2;0;1;0;3;1;0;4;0;0;0;0;0
2374;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;48;1;0;24;1;1;1;1;REGULAR;6,13;4;7;3;4;2;3;0;9;7;9;0;0;0;0;1
2375;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;40;1;0;22;0;1;1;0;LIBRE;8;1;1;1;1;3;1;0;5;2;5;0;0;0;1;0
2376;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;0;1;21;1;1;1;1;REGULAR;8,88;4;8;3;8;0;0;1;8;8;9;0;0;0;0;1
2377;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;20;1;0;20;0;1;1;0;LIBRE/INHABILITADO;-;1;0;1;0;1;1;2;2;1;4;0;0;0;0;0
2378;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;8;1;0;19;1;1;1;0;LIBRE;4,5;1;2;1;2;1;4;0;7;6;7;0;0;0;0;0
2379;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;0;0;1;18;1;1;1;0;LIBRE/INHABILITADO;9,00;1;1;1;1;0;0;3;1;1;4;0;0;0;0;0
2380;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;40;0;1;19;0;1;1;1;LIBRE;7,13;2;8;2;7;0;1;0;8;8;8;0;0;0;0;0
2381;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;15;0;1;18;0;1;1;1;LIBRE;6;3;7;3;5;2;2;0;9;7;9;0;0;1;0;0
2382;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;0;1;26;1;1;1;0;LIBRE;7;1;1;1;1;1;2;2;4;3;6;0;0;0;0;0
2383;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;0;0;1;25;1;1;1;0;LIBRE;-;1;0;1;0;0;1;4;1;1;5;0;0;0;0;0
2384;SOLTERO/A;PROFESORADO EN HISTORIA;1;SEDE LUJAN;2014;0;0;1;22;1;1;1;1;LIBRE;6;3;4;3;2;1;2;3;5;4;8;0;1;0;0;0
2385;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;1;0;19;0;1;1;1;REGULAR;3,43;4;3;3;1;2;6;0;9;7;9;0;0;0;0;1
2386;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;0;1;18;1;1;1;1;REGULAR;7,25;4;8;3;7;0;1;1;8;8;9;0;0;1;0;1
2387;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;0;1;18;1;1;1;1;REGULAR;7,67;4;8;3;7;0;1;0;8;8;8;0;1;0;0;1
2388;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;0;0;1;18;1;1;1;1;REGULAR;6;4;5;3;4;1;2;0;7;6;7;0;0;0;0;1
2389;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;0;0;1;17;0;1;1;1;REGULAR;5,88;4;6;3;4;0;4;1;8;8;9;0;0;0;0;1
2390;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;1;0;18;0;1;1;1;REGULAR;8,75;4;8;3;8;0;0;0;8;8;8;0;0;0;0;1
2391;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;1;0;17;0;1;1;1;REGULAR;4,14;4;3;3;3;1;4;0;8;7;8;0;0;0;0;1
2392;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;0;1;0;17;0;1;1;1;REGULAR;7,5;4;8;3;7;0;1;0;8;8;8;0;0;0;0;1
2393;UNIDO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;9;0;1;32;1;1;1;0;LIBRE/INHABILITADO;7,33;1;3;1;2;0;1;3;3;3;6;0;0;0;0;0
2394;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;10;1;0;31;1;1;1;0;LIBRE;7;1;1;1;1;2;1;3;4;2;7;0;0;0;0;0
2395;CASADO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;45;0;1;29;1;1;1;0;LIBRE;8,5;1;2;1;2;1;1;0;4;3;4;0;0;0;0;0
2396;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;0;0;1;29;1;1;1;1;REGULAR;2,4;4;1;3;0;2;6;1;8;6;9;0;0;0;0;1
2397;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;9;0;1;29;0;1;1;1;REGULAR;7;4;2;3;2;1;3;1;6;5;7;0;0;0;0;1
2398;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;45;1;0;27;1;1;1;1;LIBRE;6,67;3;3;3;2;1;3;1;6;5;7;0;0;0;0;0
2399;SOLTERO/A;CONTADOR PUBLICO;1;C.R. CAMPANA;2014;44;0;1;26;1;1;1;1;LIBRE;8,5;3;2;3;1;3;3;0;7;4;7;1;1;0;0;0
2400;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;45;1;0;23;0;1;1;1;REGULAR;7;4;5;3;5;2;1;3;8;6;11;0;0;0;0;1
2401;SOLTERO/A;LICENCIATURA EN ADMINISTRACION;1;C.R. CAMPANA;2014;48;0;1;23;0;1;1;0;LIBRE;7;1;1;1;1;1;1;3;3;2;6;0;0;0;0;0
