,legajo,estado_civil,carrera,carrera_grado,sede,anio_ingreso,horas_trabajadas,masculino,femenino,edad_ingreso,colegio_publico,argentino,activo_primer_anio,activo_segundo_anio,estado,promedio_1er_anio,anios_en_unlu,aprobadas_1er_anio,anios_cursados,c_promociones_1er_anio,c_libres_1er_anio,c_regulares_1er_anio,c_ausentes_1er_anio,c_noausentes_1er_anio,cursadas_ap_1er_anio,cursadas_1er_anio,cambio_universidad,cambio_carrera,progresar_2016,fracaso_academico,activo_2017
4458,4458,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,0,0,1,21,1,1,1,1,REGULAR,8,4,1,3,1,0,0,0,1,1,1,0,0,0,0,1
4459,4459,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,0,0,1,20,0,1,1,1,REGULAR,6,2,2,2,0,0,2,0,2,2,2,0,0,1,0,0
4460,4460,SOLTERO/A,TEC. UN. EN INSP. DE ALIMENTOS,1,SEDE LUJAN,2014,0,0,1,22,0,1,0,1,LIBRE,-,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4461,4461,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CHIVILCOY,2014,0,1,0,28,1,1,0,0,LIBRE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4462,4462,SEPARADO/A,LICENCIATURA EN GESTION UNIVERSITARIA,1,SEDE LUJAN,2014,35,0,1,41,1,1,1,1,REGULAR,8,4,2,3,2,0,0,0,2,2,2,0,0,0,0,1
4463,4463,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,0,1,17,0,1,1,1,REGULAR,6.88,4,8,3,5,3,2,1,10,7,11,0,0,0,0,1
4464,4464,SOLTERO/A,CONTADOR PUBLICO,1,C.R. SAN MIGUEL,2014,20,0,1,18,0,1,1,1,REGULAR,7,4,1,3,1,3,3,0,7,4,7,0,0,1,0,1
4465,4465,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,30,0,1,19,0,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,4,1,2,5,1,7,0,0,0,1,0
4466,4466,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,1,0,26,1,1,1,1,REGULAR,7.33,4,3,3,3,0,1,2,4,4,6,0,0,0,0,1
4467,4467,DIVORCIADO/A,LICENCIATURA EN GESTION UNIVERSITARIA,1,SEDE LUJAN,2014,44,1,0,53,1,1,1,1,REGULAR,9,4,1,3,1,0,0,1,1,1,2,0,0,0,0,1
4468,4468,SOLTERO/A,INGENIERIA INDUSTRIAL,1,SEDE LUJAN,2014,0,0,1,23,1,1,0,1,REGULAR,-,4,0,3,0,0,0,0,0,0,0,0,1,0,0,1
4469,4469,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,0,0,1,17,1,1,1,1,REGULAR,8,4,1,2,1,5,0,3,7,1,10,0,0,0,0,1
4470,4470,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,1,0,18,0,1,1,0,REGULAR,2.67,4,1,3,0,3,4,1,7,4,8,0,1,0,0,1
4471,4471,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,4,0,1,18,0,1,1,1,REGULAR,5.67,4,5,3,3,1,3,0,7,6,7,0,0,0,0,1
4472,4472,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,30,1,0,35,1,1,1,1,REGULAR,7,4,1,3,0,0,1,0,1,1,1,0,0,0,0,1
4473,4473,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,0,1,23,1,1,0,0,REGULAR,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4474,4474,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,0,1,26,1,1,0,1,REGULAR,-,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1
4475,4475,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,0,0,1,21,1,1,1,1,REGULAR,7,4,1,3,0,0,1,1,1,1,2,0,0,0,0,1
4476,4476,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,30,1,0,25,1,1,1,1,LIBRE,6.67,2,3,2,2,4,1,4,7,3,11,1,1,0,0,0
4477,4477,DIVORCIADO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,20,0,1,45,1,1,1,0,LIBRE,6.5,1,2,1,1,2,2,0,6,3,6,0,0,0,0,0
4478,4478,SOLTERO/A,INGENIERIA AGRONOMICA,1,SEDE LUJAN,2014,20,1,0,18,1,1,1,1,REGULAR,2,4,0,3,0,2,1,3,4,1,7,0,0,0,0,1
4479,4479,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,18,0,1,1,0,LIBRE/INHABILITADO,3.75,1,2,1,1,5,2,1,8,3,9,0,1,0,1,0
4480,4480,SOLTERO/A,CONTADOR PUBLICO,1,C.R. SAN MIGUEL,2014,8,0,1,32,1,0,1,1,REGULAR,-,4,0,3,0,2,0,3,2,0,5,0,0,0,0,1
4481,4481,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,0,1,18,0,1,1,1,REGULAR,6.58,4,11,3,6,2,4,0,12,10,12,0,1,1,0,1
4482,4482,SEPARADO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,0,1,37,1,0,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,4,0,0,4,0,0,0,0,0
4483,4483,SOLTERO/A,CONTADOR PUBLICO,1,C.R. SAN MIGUEL,2014,35,1,0,32,1,1,0,0,LIBRE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4484,4484,SOLTERO/A,CONTADOR PUBLICO,1,C.R. CAMPANA,2014,40,0,1,26,0,1,1,1,LIBRE,-,2,0,2,0,0,0,3,0,0,3,0,0,0,0,0
4485,4485,CASADO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,8,0,1,30,0,1,1,0,LIBRE,10,1,1,1,1,0,0,1,1,1,2,0,0,0,0,0
4486,4486,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,30,1,0,28,1,1,1,0,LIBRE/INHABILITADO,7,1,1,1,1,2,1,2,4,2,6,0,1,0,0,0
4487,4487,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,24,1,0,19,1,1,1,1,REGULAR,2.8,4,2,3,1,4,1,1,6,2,7,0,1,0,1,1
4488,4488,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,0,1,18,1,0,1,0,LIBRE,5.33,1,2,1,1,4,0,2,5,1,7,0,1,0,1,0
4489,4489,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,C.R. SAN MIGUEL,2014,0,0,1,18,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,3,2,3,6,2,9,0,0,0,0,0
4490,4490,SOLTERO/A,CONTADOR PUBLICO,1,C.R. CHIVILCOY,2014,0,0,1,17,1,1,1,0,LIBRE,-,1,0,1,0,2,3,0,5,3,5,0,0,0,0,0
4491,4491,SOLTERO/A,INGENIERIA EN ALIMENTOS,1,SEDE LUJAN,2014,0,0,1,17,0,1,1,1,LIBRE,-,2,0,2,0,6,2,1,8,2,9,0,0,0,1,0
4492,4492,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CHIVILCOY,2014,0,0,1,20,1,1,1,1,LIBRE,2.83,3,2,3,0,3,4,0,7,4,7,0,0,1,0,0
4493,4493,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,18,0,1,1,1,REGULAR,8,4,4,3,3,3,1,1,7,4,8,0,1,0,0,1
4494,4494,SOLTERO/A,INGENIERIA AGRONOMICA,1,SEDE LUJAN,2014,40,1,0,17,0,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,4,1,0,5,0,0,0,0,0
4495,4495,SOLTERO/A,INGENIERIA INDUSTRIAL,1,SEDE LUJAN,2014,0,1,0,20,1,1,1,0,LIBRE/INHABILITADO,2,1,0,1,0,2,1,1,5,1,6,0,0,0,0,0
4496,4496,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,20,0,1,18,0,1,1,1,REGULAR,1.6,4,0,3,0,4,0,0,4,0,4,1,1,0,1,1
4497,4497,SOLTERO/A,PROFESORADO EN HISTORIA,1,SEDE LUJAN,2014,20,0,1,18,1,1,1,1,REGULAR,-,4,0,3,0,3,2,2,5,2,7,0,0,0,0,1
4498,4498,SOLTERO/A,INGENIERIA AGRONOMICA,1,SEDE LUJAN,2014,7,1,0,20,1,0,1,1,REGULAR,-,4,0,2,0,2,0,1,4,0,5,0,1,0,0,1
4499,4499,SOLTERO/A,INGENIERIA AGRONOMICA,1,SEDE LUJAN,2014,4,1,0,20,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,2,1,0,3,0,0,0,0,0
4500,4500,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,1,0,18,1,1,1,1,LIBRE,-,2,0,2,0,1,1,4,2,1,6,0,0,1,0,0
4501,4501,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,18,0,1,1,1,LIBRE,4.33,2,3,2,3,5,4,2,12,7,14,1,1,0,0,0
4502,4502,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,0,1,18,1,1,1,0,LIBRE/INHABILITADO,3,1,1,1,1,2,0,2,3,1,5,0,1,1,0,0
4503,4503,DIVORCIADO/A,LICENCIATURA EN GESTION UNIVERSITARIA,1,SEDE LUJAN,2014,35,0,1,61,1,1,1,1,LIBRE,-,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0
4504,4504,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. SAN MIGUEL,2014,30,0,1,19,1,1,1,1,REGULAR,5,4,1,3,0,3,4,0,7,4,7,0,0,0,0,1
4505,4505,SOLTERO/A,ESP.TELED.Y SIST.INF.GEO.APL.EST.MED.AMB.,0,SEDE LUJAN,2014,44,1,0,25,0,1,1,0,REGULAR,9,1,1,1,0,0,5,0,5,5,5,0,0,0,0,0
4506,4506,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. SAN MIGUEL,2014,0,0,1,25,1,1,1,1,LIBRE/INHABILITADO,6.25,2,4,2,2,0,1,1,3,3,4,0,0,0,0,0
4507,4507,SOLTERO/A,CONTADOR PUBLICO,1,C.R. CAMPANA,2014,0,0,1,23,1,1,1,1,REGULAR,2,4,0,3,0,3,0,0,3,0,3,0,0,0,1,1
4508,4508,SOLTERO/A,CONTADOR PUBLICO,1,C.R. SAN MIGUEL,2014,7,0,1,23,1,1,1,1,REGULAR,-,2,0,2,0,1,1,0,2,1,2,0,0,0,0,0
4509,4509,UNIDO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,20,0,1,27,1,1,1,0,LIBRE,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4510,4510,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,0,1,23,1,1,1,1,LIBRE,-,2,0,2,0,1,0,0,1,0,1,0,0,0,1,0
4511,4511,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. SAN MIGUEL,2014,0,1,0,20,1,1,0,1,LIBRE,-,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4512,4512,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,0,1,28,1,1,0,1,REGULAR,-,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1
4513,4513,SOLTERO/A,CONTADOR PUBLICO,1,C.R. SAN MIGUEL,2014,0,1,0,23,1,1,1,1,REGULAR,-,4,0,3,0,1,0,1,1,0,2,0,0,0,0,1
4514,4514,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. SAN MIGUEL,2014,12,0,1,25,1,1,0,0,REGULAR,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4515,4515,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. SAN MIGUEL,2014,0,0,1,25,1,1,0,0,LIBRE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4516,4516,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. SAN MIGUEL,2014,0,1,0,21,1,1,1,0,LIBRE,7,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
4517,4517,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,0,1,25,1,1,1,1,REGULAR,2,4,0,3,0,1,1,0,2,1,2,0,0,0,0,1
4518,4518,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,8,0,1,31,1,1,1,0,LIBRE,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4519,4519,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,0,0,1,24,1,1,0,0,REGULAR,-,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
4520,4520,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,0,1,0,20,1,1,0,0,REGULAR,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4521,4521,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,0,0,1,22,1,1,1,1,REGULAR,7,4,1,2,0,0,1,0,1,1,1,0,0,0,0,1
4522,4522,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. SAN MIGUEL,2014,0,0,1,23,1,1,1,1,REGULAR,6.5,3,2,3,1,0,1,0,2,2,2,0,0,0,0,0
4523,4523,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,19,0,1,1,1,REGULAR,7.5,3,2,3,2,3,3,1,8,5,9,1,1,0,0,0
4524,4524,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,0,1,18,1,1,1,1,LIBRE,7,2,1,2,1,5,0,3,6,1,9,0,1,0,1,0
4525,4525,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,18,0,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,1,0,2,1,0,3,0,1,0,0,0
4526,4526,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,18,0,1,1,1,REGULAR,4.73,3,6,3,2,4,8,0,14,10,14,0,1,0,0,0
4527,4527,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,17,0,1,1,1,REGULAR,6.4,4,9,3,4,4,2,1,10,6,11,0,1,1,0,1
4528,4528,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,19,0,1,1,1,LIBRE,4.5,2,2,2,2,3,9,3,14,11,17,0,1,0,0,0
4529,4529,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,0,1,18,1,1,1,1,REGULAR,3.71,4,3,3,2,5,3,0,10,5,10,0,1,0,0,1
4530,4530,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,0,1,18,1,1,1,0,LIBRE/INHABILITADO,4,1,3,1,1,7,2,2,10,3,12,0,1,0,1,0
4531,4531,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,30,1,0,18,0,1,1,1,LIBRE,6,2,4,2,1,4,3,0,8,4,8,1,1,1,0,0
4532,4532,SOLTERO/A,CONTADOR PUBLICO,1,D.A. MERCEDES,2014,0,1,0,21,1,1,0,0,LIBRE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4533,4533,SOLTERO/A,TECNICATURA UNIVERSITARIA EN INDUSTRIAS LACTEAS,1,SEDE LUJAN,2014,10,1,0,18,1,1,1,0,LIBRE/INHABILITADO,6,1,1,1,0,4,2,1,9,2,10,0,0,0,0,0
4534,4534,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,C.R. CAMPANA,2014,0,1,0,24,1,1,0,0,LIBRE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4535,4535,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,C.R. CAMPANA,2014,0,0,1,25,1,1,0,0,LIBRE,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4536,4536,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,0,0,1,30,1,1,0,1,LIBRE,-,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4537,4537,CASADO/A,LICENCIATURA EN GESTION UNIVERSITARIA,1,SEDE LUJAN,2014,35,0,1,40,1,1,1,1,REGULAR,7.5,4,2,3,2,0,0,0,2,2,2,0,0,0,0,1
4538,4538,SOLTERO/A,LICENCIATURA EN GESTION UNIVERSITARIA,1,SEDE LUJAN,2014,0,1,0,27,1,1,0,1,REGULAR,-,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1
4539,4539,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,C.R. CAMPANA,2014,0,1,0,18,0,1,1,1,REGULAR,4.5,4,1,3,1,3,1,3,5,2,8,0,0,0,0,1
4540,4540,SOLTERO/A,LIC.EN SISTEMAS DE INFORMACION,1,C.R. CHIVILCOY,2014,0,1,0,22,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,4,0,0,4,0,0,0,0,0
4541,4541,SOLTERO/A,PROFESORADO EN HISTORIA,1,SEDE LUJAN,2014,0,1,0,43,1,1,1,1,REGULAR,2,4,0,3,0,0,1,1,1,1,2,0,0,0,0,1
4542,4542,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,24,0,1,23,1,1,1,0,LIBRE/INHABILITADO,7,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0
4543,4543,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,0,1,21,1,1,1,1,REGULAR,8.5,4,4,3,4,1,1,0,6,5,6,0,1,1,0,1
4544,4544,CASADO/A,LICENCIATURA EN GESTION UNIVERSITARIA,1,SEDE LUJAN,2014,35,1,0,62,1,1,1,1,LIBRE,-,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0
4545,4545,DIVORCIADO/A,LICENCIATURA EN GESTION UNIVERSITARIA,1,SEDE LUJAN,2014,35,0,1,40,1,1,1,0,LIBRE,-,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0
4546,4546,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,0,0,1,18,0,1,1,1,REGULAR,8,3,1,3,1,1,0,0,2,1,2,0,0,0,0,0
4547,4547,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,1,0,19,0,1,1,1,REGULAR,7.5,4,2,3,2,0,0,0,2,2,2,0,0,0,0,1
4548,4548,CASADO/A,ESP.TELED.Y SIST.INF.GEO.APL.EST.MED.AMB.,0,SEDE LUJAN,2014,35,1,0,63,1,1,1,0,REGULAR,9,1,2,1,0,0,4,1,4,4,5,0,0,0,0,0
4549,4549,SOLTERO/A,PROFESORADO EN EDUCACION FISICA,1,D.A. S.FERNANDO,2014,0,1,0,18,0,1,1,1,REGULAR,4,4,1,3,1,3,1,2,5,2,7,0,1,0,0,1
4550,4550,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,C.R. SAN MIGUEL,2014,0,0,1,19,0,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,1,8,2,1,10,0,0,0,0,0
4551,4551,SOLTERO/A,INGENIERIA AGRONOMICA,1,SEDE LUJAN,2014,0,1,0,17,1,1,1,1,LIBRE,2,3,0,3,0,3,1,2,5,1,7,0,0,0,0,0
4552,4552,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,0,1,0,19,1,1,1,1,REGULAR,-,4,0,3,0,0,0,4,0,0,4,0,1,0,0,1
4553,4553,CASADO/A,PROFESORADO EN EDUCACION FISICA,1,SEDE LUJAN,2014,20,1,0,21,1,1,1,0,REGULAR,-,4,0,1,0,0,0,1,0,0,1,0,1,0,0,1
4554,4554,SOLTERO/A,INGENIERIA EN ALIMENTOS,1,SEDE LUJAN,2014,48,1,0,20,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4555,4555,SOLTERO/A,INGENIERIA EN ALIMENTOS,1,SEDE LUJAN,2014,20,0,1,21,1,1,1,1,REGULAR,7,4,1,3,1,1,1,0,3,2,3,0,0,0,0,1
4556,4556,SOLTERO/A,INGENIERIA EN ALIMENTOS,1,SEDE LUJAN,2014,0,0,1,18,0,1,1,1,LIBRE,-,2,0,2,0,3,0,6,3,0,9,0,0,0,0,0
4557,4557,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,2,0,1,25,1,1,1,1,LIBRE,8.5,2,4,2,4,0,1,0,5,5,5,0,0,0,0,0
4558,4558,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,0,0,1,31,1,1,1,1,REGULAR,4,4,2,3,0,0,3,0,3,3,3,0,0,0,0,1
4559,4559,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,0,1,17,1,1,1,1,LIBRE,-,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0
4560,4560,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,8,0,1,21,1,1,1,0,LIBRE,-,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0
4561,4561,SOLTERO/A,LIC. EN EDUCACION INICIAL (CICLO DE LICENCIATURA),1,C.R. SAN MIGUEL,2014,20,0,1,28,1,1,1,1,LIBRE,8,2,3,2,0,0,3,2,3,3,5,0,0,0,0,0
4562,4562,SOLTERO/A,PROFESORADO EN HISTORIA,1,SEDE LUJAN,2014,0,1,0,24,1,0,1,0,LIBRE,-,1,0,1,0,0,1,3,1,1,4,0,0,0,0,0
4563,4563,SOLTERO/A,CONTADOR PUBLICO,1,C.R. SAN MIGUEL,2014,50,0,1,41,1,1,1,1,REGULAR,6,4,1,3,0,0,2,1,2,2,3,0,0,0,0,1
4564,4564,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,0,0,1,17,1,1,1,1,REGULAR,6.5,4,3,3,3,0,2,0,5,5,5,0,0,1,0,1
4565,4565,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,72,1,0,27,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,4,0,0,4,0,0,0,0,0
4566,4566,SOLTERO/A,INGENIERIA INDUSTRIAL,1,SEDE LUJAN,2014,12,1,0,19,1,1,1,1,REGULAR,-,4,0,3,0,0,0,0,2,0,2,0,0,0,0,1
4567,4567,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,1,0,23,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4568,4568,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,1,0,18,0,1,1,1,LIBRE,6,2,6,2,3,1,2,0,6,5,6,0,0,0,0,0
4569,4569,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,24,0,1,24,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,1,2,3,3,2,6,0,0,0,0,0
4570,4570,CASADO/A,TECNICATURA UNIVERSITARIA EN INDUSTRIAS LACTEAS,1,SEDE LUJAN,2014,8,1,0,30,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4571,4571,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,0,0,1,18,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4572,4572,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,0,1,19,0,1,1,1,REGULAR,8,4,3,3,3,1,1,0,5,4,5,0,0,0,0,1
4573,4573,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,30,0,1,29,1,1,1,0,LIBRE,-,1,0,1,0,1,0,2,1,0,3,0,0,0,0,0
4574,4574,CASADO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,0,0,1,37,1,1,1,0,LIBRE,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4575,4575,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,45,1,0,21,1,1,1,1,REGULAR,8.67,4,3,3,3,0,0,0,3,3,3,0,0,0,0,1
4576,4576,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,40,1,0,26,0,1,1,1,REGULAR,8.5,4,2,3,2,0,0,2,2,2,4,0,0,0,0,1
4577,4577,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,0,1,0,20,1,1,1,0,LIBRE/INHABILITADO,7,1,1,1,1,0,0,3,1,1,4,0,0,0,0,0
4578,4578,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,0,0,1,18,1,1,1,0,LIBRE/INHABILITADO,-,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
4579,4579,SOLTERO/A,CONTADOR PUBLICO,1,SEDE LUJAN,2014,36,0,1,18,1,1,1,1,LIBRE,8,3,1,3,1,0,0,3,1,1,4,0,0,0,0,0
4580,4580,SOLTERO/A,LICENCIATURA EN TRABAJO SOCIAL,1,SEDE LUJAN,2014,44,1,0,22,1,1,1,1,LIBRE,8.5,2,4,2,4,0,0,0,4,4,4,0,0,0,0,0
4581,4581,SOLTERO/A,PROFESORADO EN HISTORIA,1,SEDE LUJAN,2014,3,1,0,19,0,1,1,1,LIBRE,7,2,1,2,1,1,2,1,4,3,5,0,0,1,0,0
4582,4582,SOLTERO/A,CONTADOR PUBLICO,1,C.R. CHIVILCOY,2014,0,1,0,17,1,1,1,1,REGULAR,5.5,4,2,3,1,0,1,0,2,2,2,0,0,1,0,1
4583,4583,SOLTERO/A,LIC. EN COMERCIO INTERNACIONAL,1,SEDE LUJAN,2014,12,1,0,18,1,1,1,1,REGULAR,5.5,4,3,3,1,0,2,0,3,3,3,0,0,1,0,1
4584,4584,SOLTERO/A,LICENCIATURA EN ENFERMERIA,1,SEDE LUJAN,2014,0,0,1,18,1,1,1,1,REGULAR,8.5,4,4,3,4,0,0,0,4,4,4,0,1,1,0,1
4585,4585,SOLTERO/A,LICENCIATURA EN ADMINISTRACION,1,SEDE LUJAN,2014,50,1,0,22,1,1,1,0,LIBRE,-,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
